id,gid,vendor,type,variants
7966983585907,gid://shopify/Product/7966983585907,Taylormade,Driver,"[{'id': 43011931930739, 'price': 7999, 'name': 'Taylormade Burner Draw 2009 Driver / 9.5 Degree / Stiff Flex Burner REAX 50', 'public_title': None, 'sku': '20665-B19BIJ6D916G938351I4'}]"
7966976999539,gid://shopify/Product/7966976999539,Callaway,Driver,"[{'id': 43011919380595, 'price': 18099, 'name': 'Left Hand Callaway Epic Max Driver / 10.5 Degree / Senior Flex Evenflow Riptide', 'public_title': None, 'sku': '18058-GG6H3FBE0A245383C16F'}]"
7966968021107,gid://shopify/Product/7966968021107,Callaway,Driver,"[{'id': 43011895984243, 'price': 14799, 'name': 'Callaway Epic Max Driver / 10.5 Degree / Stiff Flex Hzrdus Smoke iM10 Mid 50', 'public_title': None, 'sku': '18058-3753A64J3216G3832D7I'}]"
7966967922803,gid://shopify/Product/7966967922803,Callaway,Driver,"[{'id': 43011895885939, 'price': 18999, 'name': 'Callaway Epic Max Driver / 9 Degree / Stiff Flex Hzrdus Smoke iM10 Mid 60 Shaft', 'public_title': None, 'sku': '18058-JF27D2G087BBC3832D86'}]"
7966967890035,gid://shopify/Product/7966967890035,Taylormade,Driver,"[{'id': 43011895853171, 'price': 19399, 'name': 'Taylormade SIM Max Driver / 10.5 Degree / Senior Flex Fujikura Ventus TR Blue 5', 'public_title': None, 'sku': '1187-G5IA8J0D1JG9838342GH'}]"
7966966906995,gid://shopify/Product/7966966906995,Callaway,Driver,"[{'id': 43011895197811, 'price': 11699, 'name': 'Ladies Callaway XR16 Driver / 10.5 Degree / Ladies Flex Project X San Diego 47', 'public_title': None, 'sku': '545-JGGEDHAAA049383BJ5DA'}]"
7966965170291,gid://shopify/Product/7966965170291,Taylormade,Driver,"[{'id': 43011891789939, 'price': 22999, 'name': 'Taylormade Stealth Driver / 10.5 Degree / Regular Flex Fujikura Ventus Red 5', 'public_title': None, 'sku': '20336-96AA4AH0A54H83835384'}]"
7966965137523,gid://shopify/Product/7966965137523,Taylormade,Driver,"[{'id': 43011891757171, 'price': 18399, 'name': 'Taylormade Stealth Driver / 10.5 Degree / Regular Flex UST Mamiya Helium 5', 'public_title': None, 'sku': '20336-0HD5EJ7ECF2HJ383538A'}]"
7966964777075,gid://shopify/Product/7966964777075,Callaway,Driver,"[{'id': 43011891101811, 'price': 22499, 'name': 'Callaway Rogue ST MAX Driver / 9 Degree / Stiff Flex Hzrdus Smoke iM10 Mid 60', 'public_title': None, 'sku': '20405-G6787AF9EB153839489D'}]"
7966961795187,gid://shopify/Product/7966961795187,Cleveland,Driver,"[{'id': 43011886907507, 'price': 18199, 'name': 'Cleveland Launcher XL Lite Draw Driver / 10.5 Degree / Regular Flex Cypher 40', 'public_title': None, 'sku': '18078-J1D03CBE1BFEB3835709'}]"
7966961762419,gid://shopify/Product/7966961762419,Cobra,Driver,"[{'id': 43011886874739, 'price': 14999, 'name': 'Cobra F-Max Superlite Driver / 10.5 Degree / Regular Flex Superlite 45', 'public_title': None, 'sku': '671-D3CJH954GDD638381JFA'}]"
7966961139827,gid://shopify/Product/7966961139827,Callaway,Driver,"[{'id': 43011886186611, 'price': 20399, 'name': 'Callaway Rogue ST MAX Driver / 12 Degree / Regular Flex Cypher 50 Shaft', 'public_title': None, 'sku': '20405-BIJJ5982606HA383C08B'}]"
7966958190707,gid://shopify/Product/7966958190707,Ping,Driver,"[{'id': 43011882287219, 'price': 15599, 'name': 'Ping G Series Driver / 10.5 Degree / Stiff Flex Ping Alta 55 Shaft', 'public_title': None, 'sku': '902-31B1EB5G0799H382JICB'}]"
7966958125171,gid://shopify/Product/7966958125171,Callaway,Driver,"[{'id': 43011882221683, 'price': 4799, 'name': 'Left Hand Callaway Big Bertha 460 Driver / 13 Degree / Regular Flex Aldila NVS', 'public_title': None, 'sku': '380-3JH125A2C5HBF383112I'}]"
